,descricao,linkpdf,linkhtml
0,Large language models for automated scholarly paper review: A survey,/pdf/2501.10326,https://arxiv.org/html/2501.10326v1
1,An Ontology for Social Determinants of Education (SDoEd) based on Human-AI Collaborative Approach,/pdf/2501.10300,N/A
2,Temporal Causal Reasoning with (Non-Recursive) Structural Equation Models,/pdf/2501.10190,https://arxiv.org/html/2501.10190v1
3,Generative Artificial Intelligence: Implications for Biomedical and Health Professions Education,/pdf/2501.10186,N/A
4,CSSDM Ontology to Enable Continuity of Care Data Interoperability,/pdf/2501.10160,N/A
5,Topology-Driven Attribute Recovery for Attribute Missing Graph Learning in Social Internet of Things,/pdf/2501.10151,https://arxiv.org/html/2501.10151v1
6,Exploring the Impact of Generative Artificial Intelligence in Education: A Thematic Analysis,/pdf/2501.10134,https://arxiv.org/html/2501.10134v1
7,Infrastructure for AI Agents,/pdf/2501.10114,https://arxiv.org/html/2501.10114v1
8,LLM Reasoner and Automated Planner: A new NPC approach,/pdf/2501.10106,https://arxiv.org/html/2501.10106v1
9,"A Survey on LLM Test-Time Compute via Search: Tasks, LLM Profiling, Search Algorithms, and Relevant Frameworks",/pdf/2501.10069,https://arxiv.org/html/2501.10069v1
10,AirRAG: Activating Intrinsic Reasoning for Retrieval Augmented Generation via Tree-based Search,/pdf/2501.10053,https://arxiv.org/html/2501.10053v1
11,Spatiotemporal Prediction of Secondary Crashes by Rebalancing Dynamic and Static Data with Generative Adversarial Networks,/pdf/2501.10041,N/A
12,Enhancing Crash Frequency Modeling Based on Augmented Multi-Type Data by Hybrid VAE-Diffusion-Based Generative Neural Networks,/pdf/2501.10017,N/A
13,ForestProtector: An IoT Architecture Integrating Machine Vision and Deep Reinforcement Learning for Efficient Wildfire Monitoring,/pdf/2501.09926,https://arxiv.org/html/2501.09926v1
14,"GenSC-6G: A Prototype Testbed for Integrated Generative AI, Quantum, and Semantic Communication",/pdf/2501.09918,https://arxiv.org/html/2501.09918v1
15,Towards A Litmus Test for Common Sense,/pdf/2501.09913,https://arxiv.org/html/2501.09913v1
